,Season,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS
0,1872,9814,9667,2860,2371,375,90,24,2156,1351,147,0.0,141,0.0,0.0,0.0,0.0,165,68
1,1873,11003,10798,3213,2657,371,152,33,2335,1520,205,0.0,165,0.0,0.0,0.0,0.0,111,56
2,1874,12815,12656,3545,2958,427,131,29,2378,1512,159,0.0,224,0.0,0.0,0.0,0.0,138,62
3,1875,18333,18175,4759,3923,611,191,34,2954,1934,158,0.0,443,0.0,0.0,0.0,0.0,425,213
4,1876,15301,15053,4067,3376,500,155,36,2291,1586,248,0.0,440,0.0,0.0,0.0,0.0,0.0,0.0
5,1877,10871,10592,2906,2361,357,170,18,1625,1128,279,0.0,555,0.0,0.0,0.0,0.0,0.0,0.0
6,1878,11074,10803,2817,2325,364,107,21,1514,1048,271,0.0,828,0.0,0.0,0.0,0.0,0.0,0.0
7,1879,19910,19480,5028,3902,795,275,56,2810,1960,430,0.0,1508,0.0,0.0,0.0,0.0,0.0,0.0
8,1880,22031,21377,5268,4050,878,282,58,2810,1975,654,0.0,1743,0.0,0.0,0.0,0.0,0.0,0.0
9,1881,21962,21039,5555,4282,945,258,70,3013,2194,923,0.0,1523,0.0,0.0,0.0,0.0,0.0,0.0
10,1882,34939,33603,8551,6520,1354,518,159,5093,2925.0,1336,0.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1883,50968,48962,12685,9479,2161,825,220,7857,3986,2006,0.0,2469.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1884,94973,90393,22269,16939,3382,1318,630,14175,4636.0,4184,0.0,3890.0,396.0,0.0,0.0,0.0,0.0,0.0
13,1885,61531,57974,14230,10960,2058,900,312,8608,6043,3275,0.0,3157.0,282.0,0.0,0.0,0.0,0.0,0.0
14,1886,74039,68470,17018,12968,2548,1098,404,10936,7837,5281,0.0,4066.0,288.0,0.0,0.0,0.0,3119,0.0
15,1887,76899,70512,19233,14348,2937,1349,599,12774,9873,5696,0.0,2731.0,691.0,0.0,0.0,0.0,6086,0.0
16,1888,77308,72043,17298,13424,2351,1010,513,10211,7710,4494,0.0,3971.0,771.0,0.0,0.0,0.0,5047,0.0
17,1889,81600,73764,19433,14817,2934,1030,652,12595,9861,7111,0.0,7285,725.0,0.0,0.0,0.0,4652,0.0
18,1890,118659,106346,27810,21282,4008,1786,734,18347,13964,11079,0.0,6453.0,1234.0,0.0,0.0,0.0,6519,0.0
19,1891,83121,74435,18950,14613,2538,1224,575,12180,9588,7742,0.0,7271,944.0,0.0,0.0,0.0,4033,0.0
20,1892,70310,63592,15579,12154,2003,1007,415,9367,7332,6158,0.0,5908,560.0,0.0,0.0,0.0,3197,0.0
21,1893,62917,56213,15734,12069,2168,1038,459,10205,8443,6071,0.0,3263,633.0,0.0,0.0,0.0,2740,0.0
22,1894,63326,56933,17626,12983,2729,1287,627,11658,9868,5792,0.0,3280,601.0,0.0,0.0,0.0,3110,0.0
23,1895,62551,55863,16574,12729,2383,980,482,10380,8690,5049,0.0,3531,653.0,0.0,986.0,0.0,2858,0.0
24,1896,61941,55302,16074,12510,2157,1003,404,9526,8023,4840,0.0,3496,636.0,0.0,1163.0,0.0,3048,0.0
25,1897,62426,55875,16318,12712,2289,954,363,9429,7894,4689,0.0,0.0,742.0,0.0,1120.0,0.0,2673,0.0
26,1898,69058,61830,16781,13527,2066,889,299,9038,7550,5049,0.0,0.0,856.0,0.0,1323.0,0.0,2050,0.0
27,1899,69125,62033,17539,14017,2175,999,348,9577,7909,4929,0.0,0.0,859.0,0.0,1304.0,0.0,2649,0.0
28,1900,43458,39107,10919,8626,1432,607,254,5930,4921,3033,0.0,0.0,513.0,0.0,805.0,0.0,1684,0.0
29,1901,84749,76799,20911,16291,2930,1236,454,11055,9117,5456,0.0,0.0,826.0,0.0,1668.0,0.0,2843,0.0
30,1902,83688,75740,20225,16071,2817,982,355,9839,8197,5415,0.0,0.0,712.0,0.0,1821.0,0.0,2671,0.0
31,1903,83483,75369,19760,15232,3032,1161,335,9883,8138,5368,0.0,0.0,728.0,0.0,2018.0,0.0,2735,0.0
32,1904,90623,82101,20293,15967,2845,1150,331,9272,7562,5534,0.0,0.0,775.0,0.0,2213.0,0.0,2757,0.0
33,1905,91016,81522,20225,15926,2843,1119,337,9605,7916,6182,0.0,0.0,817.0,0.0,2495.0,0.0,2926,0.0
34,1906,89289,79725,19673,15787,2626,1000,260,8842,7223,6152,0.0,0.0,722.0,0.0,2690.0,0.0,2988,0.0
35,1907,89722,80302,19700,16026,2470,960,244,8692,7075,6100,0.0,0.0,739.0,0.0,2581.0,0.0,2777,0.0
36,1908,90531,80672,19279,15488,2523,1001,267,8417,6822,5859,0.0,0.0,770.0,0.0,3230.0,0.0,2733,0.0
37,1909,90659,80322,19594,15682,2651,1002,259,8760,7112,6473,0.0,0.0,755.0,0.0,3109.0,0.0,3032,0.0
38,1910,92773,81543,20332,15996,2815,1160,361,9575,7858,7419,0.0,4415.0,791.0,0.0,3020.0,0.0,3265,0.0
39,1911,93819,82253,21913,16811,3265,1323,514,11161,9318,7838,0.0,4797.0,844.0,0.0,2884.0,0.0,3403,0.0
40,1912,93183,82022,22035,16887,3353,1353,442,11164,9342,7680,0.0,4626.0,716.0,0.0,2765.0,0.0,3385,0.0
41,1913,91723,81213,21021,16215,3070,1266,470,9960,8349,7267,0.0,9282,702.0,0.0,2541.0,0.0,3250,0.0
42,1914,138785,122489,31110,24039,4622,1739,710,14517,12219,11124,0.0,14743,987.0,0.0,4185.0,0.0,4571,1370.0
43,1915,138280,121704,30460,23524,4532,1769,635,14213,11981,11120,0.0,14020,1015.0,0.0,4441.0,0.0,4106,2046.0
44,1916,92468,81923,20285,15766,2995,1141,383,8889,7518,7076,0.0,9534,640.0,0.0,2829.0,0.0,2753,836
45,1917,92623,82055,20391,16009,2909,1138,335,8950,7557,6910,0.0,8680,579.0,0.0,3079.0,0.0,2413,0.0
46,1918,75940,67285,17076,13634,2322,885,235,7381,6195,5748,0.0,5920,461.0,0.0,2446.0,0.0,1989,0.0
47,1919,83895,74664,19624,15207,2922,1048,447,8668,7424,5982,0.0,6848,531.0,0.0,2718.0,0.0,2077,0.0
48,1920,111177,99226,27146,20841,4149,1444,712,12861,11079,8210,0.0,7247.0,699.0,0.0,3663.0,0.0,2166,1563.0
49,1921,117615,105298,30225,22697,4713,1691,1124,15061,13306,8530,0.0,6959.0,801.0,0.0,3776.0,0.0,2243,1317.0
50,1922,114763,102304,29339,21880,4683,1498,1278,14870,13217,8747,0.0,6950.0,754.0,0.0,3629.0,0.0,1989,1165.0
51,1923,122172,109094,31078,23312,4953,1490,1323,15905,14301,9564,0.0,7021.0,781.0,0.0,3637.0,0.0,2172,1258.0
52,1924,125713,112624,32012,24066,5191,1572,1183,16144,14416,9659,0.0,6637.0,725.0,0.0,3641.0,0.0,2248,1247.0
53,1925,129907,116306,33609,24679,5635,1612,1683,17665,16051,10551,0.0,6665.0,495.0,0.0,3757.0,0.0,2273,1103.0
54,1926,125653,111195,31165,22953,5346,1575,1291,16001,14504,10448,0.0,6940.0,810.0,0.0,4222.0,0.0,2244,542.0
55,1927,129012,114970,32639,24190,5456,1617,1376,16522,15078,10249,0.0,6889.0,610.0,0.0,4278.0,0.0,2163,511.0
56,1928,119722,106725,30080,22008,5207,1452,1413,15137,13824,9324,0.0,7099.0,688.0,0.0,3794.0,0.0,1838,482.0
57,1929,126428,112525,32639,23531,5752,1561,1795,17567,16138,10664,0.0,6982.0,526.0,0.0,3725.0,0.0,2064,492.0
58,1930,114656,102572,30139,21367,5445,1569,1758,16308,15096,9050,0.0,7934.0,428.0,0.0,3056.0,0.0,1448,423.0
59,1931,103121,92972,25755,18701,4778,1147,1129,12862,11901,8285,0.0,7894.0,427.0,0.0,1558.0,0.0,1221,452.0
60,1932,113066,102384,28247,20336,5174,1285,1452,14307,13146,8775,0.0,7878.0,428.0,0.0,1931.0,0.0,1308,410.0
61,1933,104240,94144,25427,18782,4344,1125,1176,12381,11453,7979,0.0,7444.0,419.0,0.0,1959.0,1105.0,1046,376.0
62,1934,105601,95130,26511,19406,4680,996,1429,13377,12461,8634,0.0,8432.0,382.0,0.0,1741.0,968.0,1068,315.0
63,1935,109502,98513,27597,20001,4892,1174,1530,14179,13116,8991,0.0,8004.0,449.0,0.0,1897.0,910.0,1156,329.0
64,1936,108992,97686,27751,20189,4905,1110,1547,14598,13498,9415,0.0,8235.0,476.0,0.0,1752.0,1003.0,1130,320.0
65,1937,112477,100899,27936,20168,4875,1254,1639,14634,13436,9741,4.0,9001.0,417.0,0.0,1816.0,956.0,1324,337.0
66,1938,111612,99816,27314,19826,4656,1158,1674,14416,13357,10010,0.0,8335.0,432.0,0.0,1777.0,1038.0,1219,326.0
67,1939,108465,96376,26459,19256,4544,1047,1612,13666,12596,9544,0.0,8501.0,353.0,0.0,2443.0,1945.0,1199,345.0
68,1940,110046,98844,26465,19030,4603,1097,1735,13633,12634,9578,0.0,9049.0,358.0,0.0,1543.0,1825.0,1204,333.0
69,1941,109226,97577,25535,18676,4384,1018,1457,12875,11907,9905,0.0,8826.0,312.0,0.0,1705.0,1869.0,1115,323.0
70,1942,109179,97687,24731,18683,3974,868,1206,11980,11001,9680,0.0,8325.0,339.0,0.0,1726.0,1756.0,1185,390.0
71,1943,112869,100905,25860,19744,4086,1013,1017,12225,11049,9874,0.0,8546.0,407.0,0.0,1899.0,1881.0,1320,449.0
72,1944,110046,98872,25896,19596,4182,984,1134,12278,11236,9046,16.0,8185.0,435.0,0.0,1980.0,1861.0,1111,339.0
73,1945,108846,97324,25409,19394,3972,932,1111,12166,11107,9414,9.0,8045.0,427.0,0.0,1922.0,1710.0,1150,373.0
74,1946,112201,99844,25668,19193,4140,974,1361,12279,11238,10320,10.0,9696.0,415.0,0.0,1942.0,1865.0,1159,340.0
75,1947,112980,100343,26313,19339,4230,1012,1732,13298,12234,10781,1.0,9157.0,450.0,0.0,1752.0,1938.0,1114,333.0
76,1948,110453,97675,25753,18795,4256,1024,1678,13304,12252,10911,0.0,9016.0,451.0,0.0,1665.0,1934.0,1082,288.0
77,1949,96190,84380,22168,16101,3602,761,1704,11425,10642,10027,0.0,8951,375.0,0.0,1408.0,2132.0,730,299.0
78,1950,96463,84823,22559,15979,3714,793,2073,12013,11269,9955,0.0,9554,436.0,0.0,1249.0,2226.0,650,231.0
79,1951,95998,85065,22191,16030,3582,716,1863,11268,10524,9244,0.0,9335,449.0,0.0,1240.0,2146.0,866,604
80,1952,94808,84195,21272,15506,3388,677,1701,10349,9671,8777,0.0,10380,482.0,0.0,1354.0,1966.0,771,628
81,1953,95411,84997,22459,16045,3593,745,2076,11426,10714,8682,0.0,10213,487.0,0.0,1245.0,2029.0,668,520
82,1954,95536,83936,21908,15727,3455,789,1937,10827,10168,9032,0.0,10215,441.0,795.0,1332.0,1959.0,695,527
83,1955,95025,83590,21610,15435,3251,700,2224,11068,10381,9044,722.0,10803,506.0,698.0,1187.0,1940.0,694,536
84,1956,95231,83856,21653,15295,3339,725,2294,11031,10330,8997,783.0,11505,481.0,644.0,1253.0,1984.0,719,495
85,1957,95386,84906,21865,15595,3396,672,2202,10636,10023,8167,740.0,11948,511.0,687.0,1115.0,1970.0,767,558
86,1958,94143,83827,21621,15334,3392,655,2240,10578,9956,8127,679.0,12225,499.0,644.0,1046.0,2062.0,741,516
87,1959,94717,84294,21636,15317,3478,591,2250,10853,10177,8184,707.0,12604,496.0,616.0,1127.0,1837.0,853,506
88,1960,94771,84014,21434,15206,3442,658,2128,10664,9968,8384,729.0,12815,488.0,692.0,1193.0,1914.0,923,547
89,1961,109568,97032,25066,17607,3975,754,2730,12942,12062,9897,732.0,14947,573.0,761.0,1305.0,2232.0,1046,599
90,1962,124540,110688,28521,20354,4313,853,3001,14461,13546,10936,818.0,17567,709.0,846.0,1361.0,2487.0,1348,701
91,1963,122336,109814,27043,19450,4098,791,2704,12780,11904,9591,933.0,18773,714.0,769.0,1448.0,2256.0,1236,763
92,1964,122980,110464,27669,19877,4270,760,2762,13124,12233,9621,1015.0,19212,694.0,739.0,1462.0,2394.0,1176,719
93,1965,122749,109739,26952,19278,4199,787,2688,12946,12012,10036,1130.0,19283,720.0,766.0,1488.0,2363.0,1449,786
94,1966,121677,109467,27207,19524,4120,820,2743,12900,11998,9331,1088.0,18805,682.0,742.0,1455.0,2355.0,1455,926
95,1967,121839,109205,26464,19291,4082,792,2299,12210,11265,9665,1295.0,19413,751.0,738.0,1480.0,2245.0,1373,940
96,1968,120816,108622,25710,19149,3869,697,1995,11109,10309,9156,1223.0,19143,778.0,753.0,1507.0,2217.0,1515,931
97,1969,148181,131287,32581,23773,4840,849,3119,15850,14662,13429,1436.0,22473,882.0,914.0,1669.0,2900.0,1850,1118
98,1970,149312,132140,33555,23964,5235,927,3429,16880,15762,13727,1464.0,22374,825.0,990.0,1630.0,3020.0,1908,1078
99,1971,146690,130544,32547,23945,4931,808,2863,15073,14077,12536,1396.0,20956,821.0,987.0,1802.0,3092.0,1765,1039
100,1972,139947,124828,30434,22502,4652,746,2534,13706,12750,11727,1378.0,20718,751.0,883.0,1758.0,2797.0,1807,1105
101,1973,148777,132363,34010,24894,5224,790,3102,16376,15254,13100,1357.0,20358,755.0,1009.0,1550.0,3129.0,2034,1213
102,1974,148855,132256,33969,25266,5207,847,2649,16046,14858,12963,1353.0,19494,774.0,1104.0,1734.0,3082.0,2489,1381
103,1975,148621,131473,33863,24834,5444,887,2698,16295,15153,13402,1338.0,19280,761.0,1087.0,1873.0,3025.0,2529,1371
104,1976,147598,131526,33598,25157,5240,966,2235,15492,14363,12390,1159.0,18745,684.0,1183.0,1792.0,2908.0,3054,1543
105,1977,161547,143977,38037,26782,6441,1170,3644,18803,17595,13757,1296.0,21722,791.0,1230.0,1763.0,3145.0,3016,1780
106,1978,159192,141567,36508,26346,6186,1020,2956,17251,16098,13566,1338.0,20058,772.0,1274.0,1986.0,3079.0,3004,1616
107,1979,160378,142793,37911,26997,6415,1066,3433,18713,17558,13601,1366.0,20035,754.0,1314.0,1895.0,3328.0,2982,1597
108,1980,161210,144160,38144,27636,6345,1076,3087,18053,16928,13190,1436.0,20212,657.0,1296.0,1883.0,3364.0,3294,1609
109,1981,105892,94467,24157,17717,4000,659,1781,11147,10451,8868,895.0,13237,464.0,829.0,1252.0,2205.0,2021,1098
110,1982,161104,144149,37651,26992,6316,964,3379,18110,17019,13302,1319.0,21221,677.0,1221.0,1740.0,3154.0,3176,1617
111,1983,160615,143539,37443,26646,6463,1033,3301,18170,17067,13518,1379.0,21716,717.0,1255.0,1561.0,3297.0,3325,1618
112,1984,160566,143829,37381,26925,6213,985,3258,17921,16778,13320,1270.0,22500,668.0,1286.0,1435.0,3189.0,3032,1510
